,Country,Year,Unemployment Rate
1047,Hungary,1998,8.93
1048,Hungary,1999,6.93
1049,Hungary,2000,6.56
1050,Hungary,2001,5.67
1051,Hungary,2002,5.61
1052,Hungary,2003,5.79
1053,Hungary,2004,5.83
1054,Hungary,2005,7.19
1055,Hungary,2006,7.49
1056,Hungary,2007,7.41
1057,Hungary,2008,7.82
1058,Hungary,2009,10.03
1059,Hungary,2010,11.17
1060,Hungary,2011,11.03
1061,Hungary,2012,11
1062,Hungary,2013,10.18
1063,Hungary,2014,7.73
1064,Hungary,2015,6.81
1065,Hungary,2016,5.11
1066,Iceland,1991,2.55
1067,Iceland,1992,4.31
1068,Iceland,1993,5.26
1069,Iceland,1994,5.33
1070,Iceland,1995,5.2
1071,Iceland,1996,3.6
1072,Iceland,1997,3.72
1073,Iceland,1998,3.07
1074,Iceland,1999,2.18
1075,Iceland,2000,1.94
1076,Iceland,2001,1.87
1077,Iceland,2002,2.99
1078,Iceland,2003,4
1079,Iceland,2004,4.03
1080,Iceland,2005,2.55
1081,Iceland,2006,2.83
1082,Iceland,2007,2.25
1083,Iceland,2008,2.95
1084,Iceland,2009,7.22
1085,Iceland,2010,7.56
1086,Iceland,2011,7.03
1087,Iceland,2012,6
1088,Iceland,2013,5.38
1089,Iceland,2014,4.9
1090,Iceland,2015,3.98
1091,Iceland,2016,2.98
1118,Ireland,1991,15.78
1119,Ireland,1992,15.03
1120,Ireland,1993,15.59
1121,Ireland,1994,14.57
1122,Ireland,1995,11.98
1123,Ireland,1996,11.72
1124,Ireland,1997,10.2
1125,Ireland,1998,7.7
